Filename,TextGridLabel,Intensity
M1A37,I50,74.16980399
M1A37,o60,72.17561081
M1A37,fix2,71.28068989
M1A38,fix1,75.74042024
M1A38,a0,74.35622725
M1A38,a10,75.05305342
M1A38,u20,78.69157867
M1A38,U30,80.576705
M1A38,a00,74.94993951
M1A38,a40,75.70814489
M1A38,u50,74.00995448
M1A38,U60,77.51005302
M1A38,fix2,73.63930546
M1A39,fix1,46.3613713
M1A39,e0,71.51371076
M1A39,e10,75.67251107
M1A39,I20,78.0902066
M1A39,o30,66.16358174
M1A39,e00,75.10779152
M1A39,e40,75.35638093
M1A39,I50,78.68287121
M1A39,o60,75.05292002
M1A39,fix2,74.28258824
M1A40,fix1,66.46087042
M1A40,e1,72.64154777
M1A40,U2,74.71123787
M1A40,a3,71.78564303
M1A40,e4,70.26506204
M1A40,U5,74.70061219
M1A40,a6,70.95157656
M1A40,fix2,72.04121469
M1A41,fix1,51.80277652
M1A41,i1,78.37105594
M1A41,I2,78.59882271
M1A41,o3,72.12979922
M1A41,i4,77.58756761
M1A41,I5,77.91353398
M1A41,o6,76.45401845
M1A41,fix2,72.23159097
M1A43,fix1,44.41553673
M1A43,a0,71.42981605
M1A43,i10,70.73906715
M1A43,I20,71.89213882
M1A43,a30,65.61108479
M1A43,a00,72.43191468
M1A43,i40,69.73977899
M1A43,I50,70.7711952
M1A43,a60,69.99871176
M1A43,fix2,68.48941731
M1A44,fix1,48.12331486
M1A44,a0,73.20817396
M1A44,o10,75.01450944
M1A44,u20,75.39898456
M1A44,U30,77.74253819
M1A44,a00,72.29801606
M1A44,o40,72.68853993
M1A44,u50,73.54696415
M1A44,U6,78.14777954
M1A44,fix2,74.96919486
M1A45,fix1,70.85278184
M1A45,y1,73.69286353
M1A45,i2,72.89801508
M1A45,U3,73.83621878
M1A45,y4,73.13585175
M1A45,i5,72.6178507
M1A45,U6,73.80810283
M1A45,fix2,68.58469174
M1A46,fix1,61.81715888
M1A46,a1,70.26658291
M1A46,E2,77.27750524
M1A46,o3,71.15790179
M1A46,a4,72.47416565
M1A46,E5,79.02721899
M1A46,o6,72.98676173
M1A46,fix2,73.70249813
M1A47,fix1,58.43853214
M1A47,e1,78.38732978
M1A47,u2,76.90833234
M1A47,U3,77.39721326
M1A47,e4,77.36360266
M1A47,u5,75.51198118
M1A47,U6,78.19329008
M1A47,fix2,74.65720295
M1A48,fix1,69.57056373
M1A48,y1,74.28026185
M1A48,u2,75.29671844
M1A48,U3,77.86978618
M1A48,y4,74.20607838
M1A48,u5,74.80018937
M1A48,U6,74.6077266
M1A48,fix2,74.31094819
M1A51,fix1,36.2041195
M1A51,e1,68.95135306
M1A51,u2,69.79557456
M1A51,U3,74.95715048
M1A51,e4,70.67921405
M1A51,u5,70.43855576
M1A51,U6,73.12261093
M1A51,fix2,68.00557893
M1A52,fix1,75.75730042
M1A52,y1,75.57389684
M1A52,I2,76.89192316
M1A52,a3,67.67726514
M1A52,y4,75.88379774
M1A52,I5,77.38645501
M1A52,a6,73.60828498
M1A52,fix2,75.96051887
M1A53,fix1,50.26839489
M1A53,a0,75.29035464
M1A53,a10,72.55192486
M1A53,u20,75.64244164
M1A53,U30,79.06585158
M1A53,a00,74.25366136
M1A53,a40,72.65505925
M1A53,u50,75.68939849
M1A53,U60,77.64665467
M1A53,fix2,73.34060963
M1A54,fix1,42.89135689
M1A54,a0,74.61425281
M1A54,e10,76.76179198
M1A54,I20,75.60930223
M1A54,u30,72.3878719
M1A54,a00,69.61066229
M1A54,e40,71.62078376
M1A54,I50,78.10164509
M1A54,u60,75.4183853
M1A54,fix2,72.10212904
M1A55,fix1,64.36374508
M1A55,e1,77.56400154
M1A55,i2,75.60875227
M1A55,U3,77.3480855
M1A55,e4,79.38075629
M1A55,i5,75.03679045
M1A55,U6,77.83585933
M1A55,fix2,66.6879278
M1A56,fix1,76.47778899
M1A56,i1,79.54433687
M1A56,I2,81.75340549
M1A56,a3,67.24542462
M1A56,i4,74.47615398
M1A56,I5,78.31997865
M1A56,a6,76.47290953
M1A56,fix2,69.05474934
M1A58,fix1,47.38941738
M1A58,y1,70.86650044
M1A58,u2,73.45055723
M1A58,U3,78.8455333
M1A58,y4,75.05701208
